,0,1,2,3,4,5,6,7
518,SEEN Fragrance Free Conditioner 250ml,$26.00,5.0,2,None,"['Water', ' C13-15 Alkane', ' Cetearyl Alcohol', ' Cetyl Palmitate', ' Stearamidopropyl Dimethylamine', ' Behentrimonium Chloride', ' Shea Butter Cetyl Esters', ' Glycerin', ' Phenoxyethanol', ' Polysorbate 80', ' Citric Acid', ' Bisabolol', ' Disodium EDTA', ' Ethylhexylglycerin', ' Tocopherol']",SEEN,8.6 fl.oz
519,Aesop Violet Leaf Hair Balm 60ml,$33.00,5.0,1,None,None,Aesop,60ml
520,evo Head Mistress Cuticle Sealer 150ml,$29.00,5.0,1,None,"['Cyclopentasiloxane', ' Quaternium-80', ' Benzophoene-4']",evo,1 x 150ml
521,ESPA Nourishing Conditioner 295ml,$29.00,None,None,None,"['Water (Aqua)', ' Cetearyl Alcohol', ' Glycerin', ' Cetrimonium Chloride', ' Limonene', ' Phenoxyethanol', ' Cocos Nucifera (Coconut) Oil', ' Olea Europaea (Olive) Fruit Oil', ' Panthenol', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Simmondsia Chinensis (Jojoba) Seed Oil', ' Citrus Aurantium Dulcis (Orange) Peel Oil', ' Citrus Limon (Lemon) Peel Oil', ' Cupressus Sempervirens Oil', ' Citrus Aurantium Bergamia (Bergamot) Fruit Oil', ' Caprylic/Capric Triglyceride', ' Citrus Aurantifolia (Lime) Oil', ' Eucalyptus Globulus Leaf Oil', ' Lavandula Hybrida Oil', ' Linalool', ' Ethylhexylglycerin', ' Abies Sibirica Oil', ' Mentha Arvensis Leaf Oil', ' Myristica Fragrans (Nutmeg) Kernel Oil', ' Zingiber Officinale (Ginger) Root Oil', ' Hydrolyzed Corn Protein', ' Hydrolyzed Soy Protein', ' Hydrolyzed Wheat Protein', ' Citral', ' Cupressus Sempervirens Leaf Oil', ' Cymbopogon Nardus (Citronella) Oil', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', ' Myrocarpus Fastigiatus Oil', ' Pogostemon Cablin Leaf Oil', ' Citric Acid', ' Cistus Ladaniferus Oil', ' Dipteryx Odorata Seed Extract', ' Ferula Galbaniflua (Galbanum) Resin Oil', ' Fucus Vesiculosus Extract', ' Jasminum Grandiflorum (Jasmine) Flower Extract', ' Lavandula Angustifolia (Lavender) Flower Extract.']",ESPA,295ml
522,Nioxin Scalp Recovery Anti-Dandruff Medicating Cleanser Shampoo 33.8 fl. Oz,$57.00,5.0,1,None,['Active ingredient: pyrithione zinc 1% .'],Nioxin,33.8 fl.oz
523,Pai Skincare System D Schisandra and Ceramide Cooling Eye Serum 15ml,$59.00,None,None,None,"['Aqua (Water)', ' Citrus Aurantium Dulcis Fruit Water* (Orange Fruit Water)', ' Glycerin (Organic Derived Vegetable Glycerine)', ' Chondrus Crispus Powder', ' Sodium Levulinate', ' Ophiopogon Japonicus Root Extract (Mondo Grass Extract)', ' Sodium Anisate', ' Schizandra Phenanthera Fruit Extract (Schisandra Extract)', ' Acacia Senegal Gum (Gum Arabic)', ' Xanthan Gum', ' Glycosphingolipids', ' Sodium Dehydroacetate', ' Sodium Hyaluronate', ' Maltodextrin', ' Glycolipids', ' Tocopherol (Vitamin E)', ' Lysolecithin', ' Sclerotium Gum', ' Pullulan', ' Beta-Sitosterol', ' Lactic Acid', ' Squalene', ' Silica.']",Pai,15ml
524,Curlsmith Curl Defining Styling Soufflé 237ml,$27.00,None,None,None,"['Water (Aqua)', ' Glycerin', ' Babassu Oil Polyglyceryl-4 Esters', ' Sorbitol', ' Chondrus Crispus (Irish Moss)', ' Fragrance (Parfum)', ' Linum Usitatissimum (Flax) Seed Extract', ' Carapa Guaianensis (Andiroba) Seed Oil', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Salvia Officinalis (Sage) Leaf Extract', ' Persea Gratissima (Avocado) Oil*', ' Selaginella Lepidophylla (Resurrection Flower) Extract', ' Aloe Barbadensis (Aloe Vera) Leaf Juice', ' Ocimum Basilicum (Basil) Leaf Extract', ' Piper Nigrum (Black Pepper) Seed Extract', ' Butyrospermum Parkii (Shea Butter)', ' Helianthus Annuus (Sunflower) Seed Oil', ' Glyceryl Caprylate', ' Glyceryl Undecylenate', ' Potassium Sorbate', ' Sodium Benzoate', ' Disodium Edta', ' Citric Acid', ' Limonene', ' Linalool.']",Curlsmith,8oz
525,Slip Scrunchies Desert Rose Collection,$39.00,None,None,None,['Made from 100% highest grade (6A) long fiber mulberry silk with a thickness of 22 momme. Pure silk filler and internal liner.'],Slip,None
526,ESPA Bergamot and Jasmine Shampoo 400ml,$30.00,None,None,None,"['Aqua (Water)', ' Cocamidopropyl Betaine', ' Sodium Cocoyl Isethionate', ' Sodium Chloride', ' Fragrance* (Parfum)', ' Phenoxyethanol', ' Limonene', ' Coconut Acid', ' Hydroxyacetophenone', ' Hydroxypropyltrimonium Honey', ' Polyglyceryl-3 Cocoate', ' Polyglyceryl-4 Caprate', ' Polyglyceryl-6 Caprylate', ' Polyglyceryl-6 Ricinoleate', ' Sodium Isethionate', ' Panthenol', ' Linalool', ' Cocos Nucifera (Coconut) Oil', ' Olea Europaea (Olive) Fruit Oil', ' Simmondsia Chinensis (Jojoba) Seed Oil', ' Leuconostoc/Radish Root Ferment Filtrate', ' Citric Acid', ' Sodium Hydroxide', ' Citrus Aurantium Dulcis (Orange) Peel Oil', ' Citrus Aurantium Bergamia (Bergamot) Fruit Oil', ' Citrus Limon (Lemon) Peel Oil', ' Juniperus Mexicana Oil', ' Citrus Aurantifolia (Lime) Oil', ' Eucalyptus Globulus Leaf Oil', ' Abies Sibirica Oil', ' Zingiber Officinale (Ginger) Root Oil', ' Mentha Arvensis Leaf Oil', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', ' Cymbopogon Nardus (Citronella) Oil', ' Myrocarpus Fastigiatus Oil', ' Lavandula Angustifolia (Lavender) Flower Extract', ' Ferula Galbaniflua (Galbanum) Resin Oil', ' Cistus Ladaniferus Oil', ' Jasminum Officinale (Jasmine) Flower Extract', ' Dipteryx Odorata Seed Extract', ' Fucus Vesiculosus Extract. *100% Natural Fragrance.']",ESPA,400ml
527,SILKE Hair Wrap The Dita - Purple and Red,$65.00,None,None,None,None,SILKE London,None
528,Christophe Robin Colour Shield Mask with Camu Camu Berries 250ml,$27.30,None,None,None,"['Aqua (Water)', ' Behenyl Alcohol', ' Cetearyl Alcohol', ' Crambe Abyssinica Seed Oil Phytosterol Esters', ' Brassicamidopropyl Dimethylamine', ' Macadamia Ternifolia Seed Oil', ' Polyglyceryl-10 Pentastearate', ' Parfum (Fragrance)', ' Myrciaria Dubia Fruit Extract', ' Triticum Vulgare Germ Extract', ' Lecithin', ' Lactic Acid', ' Glycerin', ' Polyquaternium-10', ' Guar Hydroxypropyltrimonium Chloride', ' Pentylene Glycol', ' Stearamidopropyl Dimethylamine Lactate', ' Sodium Phytate', ' Ascorbyl Palmitate', ' Sodium Acetate', ' Sodium Chloride', ' 1', '2-Hexanediol', ' Caprylyl Glycol', ' Isopropyl Alcohol', ' Alcohol', ' Citric Acid', ' Tocopherol', ' Ascorbyl Glucoside', ' Hydroxyacetophenone', ' Sodium Benzoate', ' Potassium Sorbate', ' Benzyl Salicylate', ' Hexyl Cinnamal', ' Limonene.']",Christophe Robin,250ml
529,Grow Gorgeous Prebiotic and Niacinamide 10% Booster 30ml,$21.00,None,None,None,"['Aqua/Water/Eau', ' Niacinamide', ' Pentylene Glycol', ' Caffeine', ' Inulin', ' Phenoxyethanol', ' Ppg-26-Buteth-26', ' Peg-40 Hydrogenated Castor Oil', ' Fragrance (Parfum)', ' Sodium Hyaluronate', ' Allantoin', ' Chlorphenesin', ' Fructose', ' Trisodium Ethylenediamine Disuccinate', ' Limonene', ' Linalool', ' Alpha-Isomethyl Ionone', ' Citric Acid', ' Sodium Hydroxide.']",Grow Gorgeous,30ml
530,Sebastian Professional Dark Oil Lightweight Conditioner 1000ml,$43.96,None,None,None,"['Aqua/Water/Eau', ' Sodium Lauryl Sulfate', ' Sodium Laureth Sulfate', ' Cocamidopropyl Betaine', ' Sodium Chloride', ' Parfum/ Fragrance', ' Panthenol', ' Citric Acid', ' Sodium Benzoate', ' Hydroxypropyl Methylcellulose', ' PEG-35 Castor Oil', ' Salicylic Acid', ' Tetrasodium EDTA', ' Sodium Hydroxide', ' Hexyl Cinnamal', ' Methylparaben', ' Coumarin', ' Citronellol', ' Linalool', ' Argania Spinosa Kernel Oil', ' Simmondsia Chinensis (Jojoba) Seed Oil', ' Sodium Citrate', ' Sodium Xylenesulfonate.']",Sebastian Professional,1000ml
531,T3 SoftCurl Diffuser - Black,$30.00,None,None,None,None,T3,None
532,Patricks CD1 Thickening and Stimulating Conditioner 200g,$46.00,None,None,None,"['Aqua (Water/Eau)', ' Propylene Glycol', ' Cetearyl Alcohol', ' Cyclopentasiloxane', ' Behentrimonium Chloride', ' Fragrance/Parfum', ' Quaternium-80', ' Kigelia Africana Fruit Extract', ' Ginkgo Biloba Leaf Extract', ' Salvia Sclarea (Clary) Extract', ' Cinnamomum Zeylanicum BArk Extract', ' Rosemarinus Officinalis (Rosemary) Leaf Extract', ' Serenoa Serrulata Fruit Extract', ' Coffea Arabica (Coffee) Fruit Extract', ' Capsicum Frutescens Fruit Extract', ' Phenoxyethanol', ' Dextran', ' Acetyl Tetrapeptide-3. Trifolium Pratense (Clover) Flower Extract', ' Butylene Glycol', ' Cinnamidopropyltrimonium Chloride', ' Mentha Arvensis Leaf Oil', ' Menthol', ' Mentoxypropanedil', ' Alcohol Denat.', ' Citric Acid', ' Limonene', ' Linalool', ' Hydroxycitronellal', ' Methylchloroisothiazolinone', ' Methylisothiazolinone.']",Patricks,200g
533,Dr. PAWPAW Everybody Hair and Body Conditioner 200ml,$12.00,None,None,None,"['Aqua', ' Cetrimonium Chloride', ' Cetearyl Alcohol', ' Glycerin', ' Dimethicone', ' Argania Spinosa Kernel Oil', ' Glyceryl stearate', ' Glyceryl SE', ' Panthenol', ' PEG-100 stearate', ' Cocos Nucifera', ' (Coconut) Oil', ' Parfum', ' Citric Acid', ' Disodium EDTA', ' Aloe Baradensis (Aloe vera) Leaf Juice', ' Cocos Nucifera (coconut) Fruit Extract', ' Carica Papaya (Papaya Fruit) Extract', ' Ethylhexyglycerin', ' Xanthan Gum', ' Phenoxyethanol']",Dr. PAWPAW,200ml
534,Christophe Robin Temporary Color Gel - Light Chestnut 100ml,$35.00,5.0,1,None,None,Christophe Robin,100ml
535,Bardot Voluminous Conditioner 8 fl. oz,$15.60,None,None,None,"['Water/Aqua/Eau', ' Cetyl Alcohol', ' Propanediol', ' Stearyl', ' Dicetyldimoni', ' Chloride', ' Isopropyl', ' Tocoheryl Acetate Tocopherol', ' Aloe Barbadenis', ' Leaf Juice', ' Spirulina Platensis Extract', ' Rosa Canina Fruit Extract', ' Panax Quinquefolius Root Extract', ' Centella Asiatica Extract', ' Bran', ' Extract', ' Hydrolyzed Wheat Protein', ' Argania Spinosa Kernel Oil', ' Sunflower Extract', ' Hydrolyzed Quinoa', ' Laminaria Ochroleuca Extr', ' Rosemary Leaf Extract', ' Limonene', ' Linalool', ' Hexyl', ' Argine']",Bardot,8 fl. oz
536,Christophe Robin Hydrating Melting Mask with Aloe Vera 75ml,$11.90,5.0,1,None,"['Aloe Barbadensis Leaf Juice*', ' Aqua', ' Propanediol', ' Cetearyl Alcohol', ' Behenamidopropyl Dimethylamine', ' Glycerin', ' Caprylic/Capric Triglyceride', ' Sodium Pca', ' Argania Spinosa Kernel Oil*', ' Arctium Lappa Root Extract*', ' Urtica Dioica Leaf Extract*', ' Fructooligosaccharides', ' Saccharide Isomerate', ' Linseed Acid', ' Cyamopsis Tetragonoloba Gum', ' Tocopherol', ' Helianthus Annuus Seed Oil Unsaponifiables', ' Glycine Soja Oil Unsaponifiables', ' Parfum', ' Lactic Acid', ' Benzyl Alcohol', ' Sodium Benzoate', ' Potassium Sorbate', ' Limonene', ' Linalool', ' Sodium Citrate', ' Citric Acid.\n*From Organic Farming.']",Christophe Robin,75ml
537,Christophe Robin Shade Variation Mask - Warm Chestnut Pocket 75ml,$18.00,None,None,None,"['Aqua (Water)', ' Cetearyl Alcohol', ' Cetyl Alcohol', ' Behentrimonium Chloride', ' Glycerin', ' Cetrimonium Chloride', ' Parfum (Fragrance)', ' Mauritia Flexuosa Fruit Oil', ' Ethylhexyl Methoxycinnamate', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Hydrogenated Vegetable Oil', ' Tocopheryl Acetate', ' Sericin', ' Theobroma Cacao (Cocoa) Seed Butter', ' Sericin', ' Butyrospermum Parkii (Shea) Butter', ' Citric Acid', ' Disodium EDTA', ' Potassium Sorbate', ' Sodium Benzoate', ' Ci 12245 (Basic Red 76)', ' Ci 60730 (Acid Violet 43)', '\xa0 Ci 12719 (Basic Yellow 57)', ' Ci 56059 (Basic Blue 99)', ' Ci 12251 (Basic Brown 17)', ' Ci 12250 (Basic Brown 16)', ' Tocopherol', ' BHT.']",Christophe Robin,75ml
538,Grow Gorgeous Prebiotic and Cica Extract 25% Booster,$21.00,None,None,None,"['Aqua/Water/Eau', ' Pentylene Glycol', ' Caffeine', ' Phenoxyethanol', ' Inulin', ' Sodium Hyaluronate', ' Allantoin', ' Chlorphenesin', ' Fructose', ' Sodium Benzoate', ' Citric Acid', ' Trisodium Ethylenediamine Disuccinate', ' Centella Asiatica Extract', ' Sodium Hydroxide.']",Grow Gorgeous,30ml
539,Grow Gorgeous Curl Duo,$23.80,None,None,None,"['Shampoo:\xa0Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Betaine', ' Fragrance (Parfum)', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Sodium Chloride', ' Caffeine', ' Coconut Acid', ' Lauryl Glucoside', ' Sodium Benzoate', ' Potassium Sorbate', ' Sodium Methoxy PEG-16 Maleate/Styrene Sulfonate Copolymer', ' Sodium Isethionate', ' Cetearyl Nonanoate', ' Triticum Vulgare (Wheat) Bran Extract', ' Polyquaternium-10', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Avena Sativa (Oat) Kernel Oil', ' Disodium EDTA', ' Ethylhexyl Isononanoate', ' Arginine', ' Aspartic Acid', ' PCA', ' Linoleic Acid', ' Butylphenyl Methylpropional', ' Phenoxyethanol', ' Limonene', ' Glycine', ' Linalool', ' Alanine', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Camellia Oleifera Seed Oil', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Tocopherol', ' Sodium Hydroxide.\n                              \xa0']",Grow Gorgeous,Shampoo: 250ml / Conditioner: 250ml
540,Bouclème Curl Cream 300ml,$32.00,None,None,None,"['Aqua', ' Cetearyl Alcohol', ' Cocos Nucifera (Virgin Coconut) Oil', ' Glycerin Vegetable', ' Diheptyl Succinate', ' Cocos Nucifera (Coconut) Fruit\xa0Extract', ' Distearoylethyl Dimonium Chloride', ' Polyquaternium-98', ' Coco Caprylate', ' Aleurites Moluccana (Kukui) Oil', ' Butyrospermum Parkii\xa0(Shea Butter)', ' *Litsea Cubeba (May Chang) Fruit Oil ', ' *Citrus Grandis (Grapefruit) Peel Oil', ' *Citrus Reticulata (Mandarin Red) Peel\xa0Oil', ' *Citrus Aurantium Dulcis (Sweet Orange) Peel Oil', ' *Citrus Aurantium Bergamia (Bergamot) Fruit Oil', ' *Origanum Majorana (Marjoram\xa0Sweet) Leaf Oil', ' *Rosmarinus Officinalis (Rosemary) Leaf Oil', ' *Mentha Viridis (Spearmint) Leaf Oil', ' *Pogostemon Cablin (Patchouli)\xa0Leaf Oil', ' *Michelia Alba (Magnolia) Flower Oil', ' *Michelia Alba (Magnolia) Leaf Oil', ' *Cymbopogon Martini (Palmarosa) Oil', ' *Tilia\xa0Cordata (Linden) Flower Oil', ' Styrax Tonkinensis (Benzoin) Resin Extract', ' Ricinus Communis (Castor) Seed Oil', ' Guar\xa0Hydroxypropyltrimonium Chloride', ' Capryloyl Glycerin/Sebacic Acid Copolymer', ' Tocopherol', ' Benzyl Alcohol', ' Dehydroacetic Acid', '\xa0**Limonene', ' **Linalool', ' **Geraniol. *natural pure essential oils **potential allergens.']",Boucleme,300ml
541,Christophe Robin Luscious Curl Ritual (Worth $77),$39.90,None,None,None,"['Cleansing Balm:\xa0Aqua/Water/Eau', ' Cetearyl Alcohol', ' Cocamidopropyl Betaine', ' Hydroxypropyl Starch Phosphate', ' Glycerin', ' Behentrimonium Chloride', ' Helianthus Annuus (Sunflower) Seed Oil', ' C15-19 Alkane', ' Ceteareth-33', ' Jojoba Esters', ' Dipropylene Glycol', ' Caprylic/Capric Triglyceride', ' Sodium Chloride', ' Fragrance (Parfum)', ' Helianthus Annuus (Sunflower) Seed Wax', ' Creatine', ' Sodium Benzoate', ' Garcinia Indica (Kokum) Seed Butter', ' Nigella Sativa Seed Oil', ' Salvia Hispanica (Chia) Seed Oil', ' Disodium Edta', ' Potassium Sorbate', ' Hexyl Cinnamal', ' Linalool', ' Polyglycerin-3', ' Limonene', ' Benzyl Salicylate', ' Citronellol', ' Hydroxycitronellal', ' Citric Acid', ' Polyglyceryl-3 Diisostearate', ' Capsanthin/Capsorubin', ' Sodium Hydroxide', ' Bixa Orellana Seed Extract', ' Potassium Hydroxide', ' Ascorbic Acid']",Christophe Robin,Cleansing Balm: 250ml / Curl Defining Butter: 150ml
542,Christophe Robin Temporary Color Gel - Dark Blonde 100ml,$35.00,None,None,None,None,Christophe Robin,None
543,Grow Gorgeous Sensitive Duo,$23.80,None,None,None,"['Sensitive Micellar Shampoo: Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Sodium Chloride', ' Coconut Acid', ' Lauryl Glucoside', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Saccharomyces/Rice Ferment Filtrate', ' Sodium Benzoate', ' Glycerin', ' Plukenetia Volubilis Seed Oil', ' Potassium Sorbate', ' Disodium EDTA', ' Lysine', ' Sodium Isethionate', ' Polyquaternium-10', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Avena Sativa (Oat) Kernel Oil', ' Arginine', ' Aspartic Acid', ' PCA', ' Butylene Glycol', ' Glycine', ' Opuntia Ficus-Indica Stem Extract', ' Alanine', ' 1', '2-Hexanediol', ' Phenoxyethanol', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Centella Asiatica Extract', ' Sodium Hydroxide.']",Grow Gorgeous,2 x 250ml
544,Grow Gorgeous Repair Duo,$34.00,2.0,1,None,"['Shampoo:\xa0Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Fragrance (Parfum)', ' Sodium Chloride', ' Panthenol', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Caffeine', ' Coconut Acid', ' Lauryl Glucoside', ' Salvia Hispanica (Chia) Seed Oil', ' Glycerin', ' Butylene Glycol', ' Sodium Benzoate', ' Hydrolyzed Adansonia Digitata (Baobab) Seed Extract', ' Potassium Sorbate', ' Guar Hydroxypropyltrimonium Chloride', ' Sodium Isethionate', ' Theobroma Grandiflorum (Cupuacu) Seed Butter', ' Polyquaternium-10', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Disodium EDTA', ' Phytantriol', ' Arginine', ' Hydrolyzed Ceratonia Siliqua (Carob) Seed Extract', ' Aspartic Acid', ' PCA', ' Zea Mays (Corn) Starch', ' Bambusa Vulgaris (Bamboo) Leaf Extract', ' Benzyl Alcohol', ' Butylphenyl Methylpropional', ' Limonene', ' Glycine', ' Linalool', ' Alanine', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Histidine', ' Phenylalanine', ' Citric Acid', ' Sorbic Acid', ' Polyquaternium-7', ' Sodium Hydroxide.']",Grow Gorgeous,2 x 250ml
545,VIRTUE Refresh Topical Scalp Supplement 60ml,$56.00,None,None,None,"['Aqua (Water', ' Eau)', ' Dimethicone', ' Polysorbate 20', ' Glycerin', ' Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer', ' Polymethylsilsesquioxane', ' Butylene Glycol', ' Dimethicone/Vinyl Dimethicone Crosspolymer', ' Methyl Gluceth-20', ' Bis-PEG-18 Methyl Ether Dimethyl Silane', ' Keratin', ' Panthenol', ' Caesalpinia Spinosa Fruit Pod Extract', ' Biotin', ' Palmitoyl Tetrapeptide-20', ' Acetyl Hexapeptide-1', ' Arginine', ' Aspartic Acid', ' Tocopherol', ' Ceramide NG', ' PCA', ' Quercus Petraea Fruit Extract', ' Furcellaria Lumbricalis Extract', ' Sodium Hyaluronate', ' Hydrolyzed Sodium Hyaluronate', ' Citrus Paradisi (Grapefruit) Fruit Extract', ' Helianthus Annuus (Sunflower) Sprout Extract', ' Glycine', ' Alanine', ' Serine', ' Tropaeolum Majus Extract', ' Nasturtium Officinale Extract', ' Valine', ' Threonine', ' Proline', ' Isoleucine', ' Phenylalanine', ' Histidine', ' Sorbic Acid', ' Dextran', ' Ricinus Communis (Castor) Seed Oil', ' Olea Europaea (Olive) Fruit Oil', ' Sodium PCA', ' Sodium Lactate', ' Ethylhexylglycerin', ' Alpha-Glucan Oligosaccharide', ' Maltodextrin', ' Caprylyl Glycol', ' Polyglyceryl-6 Laurate', ' Pentylene Glycol', ' Myristyl Glucoside', ' Lauryl Glucoside', ' Propanediol', ' Dimethiconol', ' Xanthan Gum', ' Carbomer', ' Silica', ' Isoceteth-10', ' Polyquaternium-10', ' Parfum (Fragrance)', ' Disodium EDTA', ' Phenoxyethanol', ' Sodium Benzoate', ' Citric Acid', ' Aminomethyl Propanol', ' BHT', ' Linalool', ' Benzyl Salicylate', ' Coumarin', ' Geraniol', ' Limonene.']",VIRTUE,60ml
546,Nioxin Minoxidil Hair Regrowth Treatment Men 2 oz,$35.98,None,None,None,"['Active ingredient Minoxidil 5% w/v. Inactive ingredients: alcohol', ' propylene glycol', ' purified water.']",Nioxin,2oz
547,Grow Gorgeous Defence Duo,$34.00,4.0,1,None,"['Shampoo:\xa0Aqua/Water/Eau', ' Sodium Cocoyl Isethionate', ' Sodium Methyl Cocoyl Taurate', ' Cocamidopropyl Betaine', ' Fragrance (Parfum)', ' Sodium Chloride', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Caffeine', ' Coconut Acid', ' Lauryl Glucoside', ' Sodium Benzoate', ' Glycerin', ' Sodium Isethionate', ' Potassium Sorbate', ' Polyquaternium-10', ' Propylene Glycol', ' Sodium PCA', ' Sodium Lactate', ' Allantoin', ' Benzophenone-4', ' Disodium EDTA', ' Ethylhexyl Methoxycinnamate', ' Arginine', ' Aspartic Acid', ' PCA', ' Camellia Sinensis (Green Tea) Leaf Extract', ' 1', '2-Hexanediol', ' Butylphenyl Methylpropional', ' Limonene', ' Glycine', ' Linalool', ' Alanine', ' Biosaccharide Gum-4', ' Serine', ' Caesalpinia Spinosa (Tara) Fruit Extract', ' Valine', ' Phenoxyethanol', ' Isoleucine', ' Proline', ' Threonine', ' Helianthus Annuus (Sunflower) Sprout Extract', ' Citric Acid', ' Histidine', ' Phenylalanine', ' BHT', ' Sodium Hydroxide.']",Grow Gorgeous,2 x 250ml
548,SILKE London Coco Hair Ties,$39.00,None,None,None,None,SILKE London,None
549,Alterna My Hair My Canvas Jelly Fix Repair Booster,$29.00,None,None,None,"['Aqua/Water/Eau', ' Glycerin', ' Polyquaternium-37', ' Ipdi/Peg-15 Soyamine Copolymer Dimer Dilinoleate', ' Phenoxyethanol', ' Polysorbate 20', ' Hydroxypropyl Guar Hydroxypropyltrimonium Chloride', ' Sodium Benzoate', 'Lactobacillus Ferment', ' Cinnamidopropyltrimonium Chloride', ' Ethylhexylglycerin', ' Parfum/Fragrance', ' Glucosamine Hcl', ' Sodium Phytate', ' Isopropyl Alcohol', ' Camellia Sinensis Leaf Extract', ' Caulerpa Lentillifera Extract', ' Mauritia Flexuosa Fruit Oil', ' Limonene', ' Benzyl Salicylate', ' Hexyl Cinnamal', ' Linalool', ' Pentasodium Pentetate', ' Citral', ' Charcoal Powder', ' Citric Acid', ' Glucose', ' Alcohol', ' Hydrolyzed Pea Protein', ' Tocopherol', ' Sodium Chloride', ' Sodium Succinate']",Alterna,50ml
550,KLORANE Protective Conditioner with Aquatic Mint 5 fl oz.,$20.00,None,None,None,"['Water (Aqua)', ' Behenamidopropyl Dimethylamine', ' Behenyl Alcohol', ' Betaine', ' Glycerin', ' Dicaprylyl Carbonate', ' Lactic Acid', ' Hydroxypropyl Starch Phosphate', ' C14-22 Alcohols', ' Caprylic/Capric Triglyceride', ' Benzyl Salicylate', ' C12-20 Alkyl Glucoside', ' Citric Acid', ' Fragrance (Parfum)', ' Guar Hydroxypropyltrimonium Chloride', ' Linalool', ' Mentha Aquatica Flower/Leaf/Stem Extract', ' Menthol', ' Phenoxyethanol', ' Propanediol', ' Salicylic Acid', ' Sodium Benzoate', ' Tocopherol', ' Trisodium Ethylenediamine Disuccinate.']",KLORANE,5.0 fl. oz
551,Curlsmith Double Cream Deep Quencher Travel Size 59ml,$12.00,None,None,None,"['Water (Aqua)', ' Cetearyl Alcohol (Plant Derived)', ' Behentrimonium Chloride', ' Propanediol', ' Hydroxypropyl Starch Phosphate', ' Cetyl Esters', ' Fragrance (Parfum)', ' Guar Hydroxypropyltrimonium Chloride', ' Selaginella Lepidophylla (Rose Of Jericho) Extract', ' Carapa Guaianensis (Andiroba) Seed Oil', ' Aloe Barbadensis (Aloe Vera) Leaf Juice', ' Ocimum Basilicum (Basil) Leaf Extract', ' Piper Nigrum (Black Pepper) Seed Extract', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Salvia Officinalis (Sage) Leaf Extract', ' Helianthus Annuus (Sunflower) Seed Oil', ' Prunus Armeniaca (Apricot) Kernel Oil*', ' Persea Gratissima (Avocado) Oil*', ' Butyrospermum Parkii (Shea Butter)', ' Panthenol', ' Ethylhexylglycerin', ' Citric Acid', ' Disodium Edta', ' Sodium Hydroxide', ' Potassium Sorbate', ' Sodium Benzoate', ' Glycerin', ' Phenoxyethanol', ' Linalool', ' Limonene.']",Curlsmith,2oz
552,Grow Gorgeous Balance Duo,$23.80,1.0,1,None,['Grow Gorgeous Balance pH-Balanced Shampoo 250ml:'],Grow Gorgeous,2 x 250ml
